"","year","mean_salinity"
"1",1974,NA
"2",1975,NA
"3",1976,NA
"4",1977,NA
"5",1978,NA
"6",1979,NA
"7",1980,NA
"8",1981,6.41666666666667
"9",1982,4.83660714285714
"10",1983,4.19910714285714
"11",1984,3.30339285714286
"12",1985,7.97721609477124
"13",1986,7.13535650623886
"14",1987,5.29125
"15",1988,8.88261656167906
"16",1989,6.02222945638648
"17",1990,5.93544915467583
"18",1991,8.12738598220494
"19",1992,8.25248070842854
"20",1993,4.86778120662069
"21",1994,5.64516656268007
"22",1996,3.25065514492069
"23",1997,6.32927474180621
"24",1998,4.58155423280423
"25",1999,6.21792070400986
"26",2000,6.83695347300646
"27",2001,10.9837401333936
"28",2002,13.005592220398
"29",2003,4.70163831529314
"30",2004,5.71691317350285
"31",2005,6.074584383395
"32",2006,7.3170101479271
"33",2007,8.14551183390023
"34",2008,12.6139200907352
"35",2009,11.1359879832
"36",2010,6.53900153286694
"37",2011,9.44189214852608
"38",2012,11.0218047052154
"39",2013,10.0017783619545
"40",2014,6.63056483843537
"41",2015,5.63984155994468
"42",2016,3.6165779643802
"43",2017,7.74322519638895
"44",2018,6.25716682470041
"45",2019,6.22795422040344
"46",2020,8.22315631469979
