"","year","mean_temperature"
"1",1974,18.4854910714286
"2",1975,18.2276244588745
"3",1976,19.3333333333333
"4",1977,18.3013888888889
"5",1978,16.0925925925926
"6",1979,16.5582010582011
"7",1980,17.7875
"8",1981,17.35
"9",1982,17.1927655677656
"10",1983,18.9818355119826
"11",1984,18.2655731523379
"12",1985,18.5549064996369
"13",1986,19.6724598930481
"14",1987,18.3512529137529
"15",1988,17.4767743573299
"16",1989,18.6991867340323
"17",1990,18.74654174085
"18",1991,19.0892384971839
"19",1992,17.9506154050159
"20",1993,19.4391865007733
"21",1994,19.7748288379932
"22",1996,18.0937912129958
"23",1997,18.7767718253968
"24",1998,18.7269695767196
"25",1999,18.0378042918953
"26",2000,16.936328475391
"27",2001,17.6395266971614
"28",2002,18.6719727400125
"29",2003,17.9136807085829
"30",2004,18.0944341616071
"31",2005,18.1333566463442
"32",2006,18.6073044067273
"33",2007,18.6462363399752
"34",2008,18.6874475928294
"35",2009,18.3810452696
"36",2010,18.7216461186952
"37",2011,18.7365504535147
"38",2012,18.76995819161
"39",2013,17.6659769232896
"40",2014,17.6185331632653
"41",2015,18.8493944912561
"42",2016,18.5022070508008
"43",2017,19.6151915344334
"44",2018,17.7637539558306
"45",2019,20.0073288690476
"46",2020,11.4734989648033
