"","year","mean_pH"
"1",1974,6.48725490196078
"2",1975,6.3
"3",1976,7.8
"4",1977,NA
"5",1978,7.5658950617284
"6",1979,7.20853174603175
"7",1980,7.61861111111111
"8",1981,7.465
"9",1982,7.1851800976801
"10",1983,7.31375816993464
"11",1984,7.35240431749623
"12",1985,7.63605625583567
"13",1986,7.58983957219251
"14",1987,7.22403846153846
"15",1988,7.28816456113331
"16",1989,7.35706232492997
"17",1990,7.37368898385565
"18",1991,7.71313874034462
"19",1992,7.62062093899143
"20",1993,7.40451092117759
"21",1994,7.32027777777778
"22",1996,6.88526297457332
"23",1997,7.59466304198447
"24",1998,7.51759649268152
"25",1999,7.36578880338138
"26",2000,7.44303171133109
"27",2001,7.63859070945817
"28",2002,7.52195696858466
"29",2003,7.33965056390901
"30",2004,7.29632899370595
"31",2005,7.49424754550378
"32",2006,7.38873170543506
"33",2007,7.58646240309187
"34",2008,7.58057341842078
"35",2009,7.58731764715396
"36",2010,7.5244871680607
"37",2011,7.66490467239527
"38",2012,7.49486952809579
"39",2013,7.57209660693546
"40",2014,7.56092403628118
"41",2015,7.39698109969794
"42",2016,7.20433003757058
"43",2017,7.49566556323045
"44",2018,7.46485398791209
"45",2019,7.45760426572062
"46",2020,7.099016563147
