"","year","doy","date"
"1",1975,119,1975-04-29
"2",1976,22,1976-01-22
"3",1977,62,1977-03-03
"4",1978,88,1978-03-29
"5",1979,77,1979-03-18
"6",1980,83,1980-03-23
"7",1981,104,1981-04-14
"8",1982,117,1982-04-27
"9",1983,82,1983-03-23
"10",1984,88,1984-03-28
"11",1985,80,1985-03-21
"12",1986,119,1986-04-29
"13",1987,119,1987-04-29
"14",1988,119,1988-04-28
"15",1989,94,1989-04-04
"16",1990,-Inf,-Inf
"17",1991,79,1991-03-20
"18",1992,119,1992-04-28
"19",1993,112,1993-04-22
"20",1994,62,1994-03-03
"21",1995,108,1995-04-18
"22",1996,78,1996-03-18
"23",1997,96,1997-04-06
"24",1998,119,1998-04-29
"25",1999,119,1999-04-29
"26",2000,74,2000-03-14
"27",2001,98,2001-04-08
"28",2002,56,2002-02-25
"29",2003,89,2003-03-30
"30",2004,91,2004-03-31
"31",2005,119,2005-04-29
"32",2006,119,2006-04-29
"33",2007,119,2007-04-29
"34",2008,33,2008-02-02
"35",2009,83,2009-03-24
"36",2010,84,2010-03-25
"37",2011,68,2011-03-09
"38",2012,63,2012-03-03
"39",2013,103,2013-04-13
"40",2014,96,2014-04-06
"41",2015,91,2015-04-01
"42",2016,78,2016-03-18
"43",2017,67,2017-03-08
"44",2018,100,2018-04-10
"45",2019,81,2019-03-22
"46",2020,105,2020-04-14
"47",2021,113,2021-04-23
"48",2022,67,2022-03-08
"49",2023,119,2023-04-29
