Year,Secchi depth (m)
1989,0.991929367
1990,0.903887177
1991,0.975823655
1992,1.091111638
1993,0.979853046
1994,1.108722446
1995,1.013510311
1996,0.815205025
1997,0.874043612
1998,0.615240578
1999,0.788504385
2000,0.748874141
2001,0.992853757
2002,0.989262858
2003,0.885043849
2004,0.813723631
2005,1.183586158
2006,1.223643043
2007,1.098601564
2008,1.258657265
2009,1.136791894
2010,1.168215217
2011,1.290163546
2012,1.211797819
2013,1.252832425
2014,1.262360749
2015,0.955333017
2016,1.060168286
2017,1.458497274
2018,1.085411235
2019,1.198957099
2020,1.190803508
2021,1.118843328
2022,1.195970609
