Year,Secchi Depth (m)
1989,0.75450253
1990,0.70698145
1991,0.786812816
1992,1.066728499
1993,0.802563238
1994,0.909173693
1995,0.909173693
1996,0.763406408
1997,1.182782462
1998,0.867150084
1999,1.120978078
2000,0.95643339
2001,1.125311973
2002,1.142124789
2003,0.892917369
2004,1.047403035
2005,1.025193929
2006,1.067006745
2007,0.969215852
2008,1.372655987
2009,1.226762226
2010,1.013195616
2011,1.045902192
2012,1.213507589
2013,1.146045531
2014,1.090682968
2015,0.968279933
2016,0.861357504
2017,1.286543002
2018,1.12386172
2019,0.952209106
2020,0.88450253
2021,0.994384486
2022,1.267588533
