year,season,n_tsw,buoy
1999,summer,3,duck
2000,spring,1,duck
2003,summer,1,duck
2011,summer,1,duck
2012,fall,1,duck
2016,fall,1,duck
2016,summer,1,duck
2011,summer,1,hatteras
2012,fall,1,hatteras
2005,summer,1,wrightsville
2018,summer,1,wrightsville
2008,fall,0,beauf
2009,fall,0,beauf
2009,spring,0,beauf
2009,summer,0,beauf
2009,winter,0,beauf
2010,fall,0,beauf
2010,spring,0,beauf
2010,summer,0,beauf
2010,winter,0,beauf
2011,fall,0,beauf
2011,spring,0,beauf
2011,summer,0,beauf
2011,winter,0,beauf
2012,fall,0,beauf
2012,spring,0,beauf
2012,summer,0,beauf
2012,winter,0,beauf
2013,fall,0,beauf
2013,spring,0,beauf
2013,summer,0,beauf
2013,winter,0,beauf
2014,fall,0,beauf
2014,spring,0,beauf
2014,summer,0,beauf
2014,winter,0,beauf
2015,fall,0,beauf
2015,spring,0,beauf
2015,summer,0,beauf
2015,winter,0,beauf
2016,fall,0,beauf
2016,spring,0,beauf
2016,summer,0,beauf
2016,winter,0,beauf
2017,fall,0,beauf
2017,spring,0,beauf
2017,summer,0,beauf
2017,winter,0,beauf
2018,fall,0,beauf
2018,spring,0,beauf
2018,summer,0,beauf
2018,winter,0,beauf
2019,fall,0,beauf
2019,spring,0,beauf
2019,summer,0,beauf
2019,winter,0,beauf
2020,fall,0,beauf
2020,spring,0,beauf
2020,summer,0,beauf
2020,winter,0,beauf
2021,fall,0,beauf
2021,spring,0,beauf
2021,summer,0,beauf
2021,winter,0,beauf
2022,fall,0,beauf
2022,spring,0,beauf
2022,summer,0,beauf
2022,winter,0,beauf
2023,spring,0,beauf
2023,summer,0,beauf
2023,winter,0,beauf
1995,fall,0,duck
1996,fall,0,duck
1996,spring,0,duck
1996,summer,0,duck
1996,winter,0,duck
1997,fall,0,duck
1997,spring,0,duck
1997,summer,0,duck
1997,winter,0,duck
1998,fall,0,duck
1998,spring,0,duck
1998,summer,0,duck
1998,winter,0,duck
1999,fall,0,duck
1999,spring,0,duck
1999,winter,0,duck
2000,fall,0,duck
2000,summer,0,duck
2000,winter,0,duck
2001,fall,0,duck
2001,spring,0,duck
2001,summer,0,duck
2001,winter,0,duck
2002,fall,0,duck
2002,spring,0,duck
2002,summer,0,duck
2002,winter,0,duck
2003,fall,0,duck
2003,spring,0,duck
2003,winter,0,duck
2004,fall,0,duck
2004,spring,0,duck
2004,summer,0,duck
2004,winter,0,duck
2005,fall,0,duck
2005,spring,0,duck
2005,summer,0,duck
2005,winter,0,duck
2006,fall,0,duck
2006,spring,0,duck
2006,summer,0,duck
2006,winter,0,duck
2007,fall,0,duck
2007,spring,0,duck
2007,summer,0,duck
2007,winter,0,duck
2008,fall,0,duck
2008,spring,0,duck
2008,summer,0,duck
2008,winter,0,duck
2009,fall,0,duck
2009,spring,0,duck
2009,summer,0,duck
2009,winter,0,duck
2010,fall,0,duck
2010,spring,0,duck
2010,summer,0,duck
2010,winter,0,duck
2011,fall,0,duck
