"year","beaufort","brunswick","carteret","currituck","dare","onslow","washington","all"
1925,49,31,36,8,14,19,9,166
1926,70,41,53,9,18,22,9,222
1927,98,51,84,14,21,31,13,312
1928,126,62,110,32,30,43,22,425
1929,143,67,125,40,34,45,26,480
1930,429,143,279,67,144,140,100,1302
1931,443,149,288,72,150,146,102,1350
1932,467,160,319,77,159,156,108,1446
1933,477,175,339,83,168,167,110,1519
1934,494,192,353,91,176,178,114,1598
1935,614,234,474,109,238,208,129,2006
1936,649,254,499,119,249,234,136,2140
1937,700,260,526,126,261,259,183,2315
1938,736,284,565,141,281,284,197,2488
1939,759,297,594,154,288,300,209,2601
1940,1200,454,1025,192,434,548,360,4213
1941,1235,468,1067,202,437,598,407,4414
1942,1265,504,1190,218,446,757,424,4804
1943,1284,531,1249,225,451,1039,427,5206
1944,1304,574,1304,238,462,1065,448,5395
1945,1512,666,1628,270,528,1170,523,6297
1946,1610,717,1745,295,547,1264,542,6720
1947,1701,748,1875,333,562,1324,601,7144
1948,1816,838,1990,368,595,1432,652,7691
1949,1868,884,2046,395,603,1481,696,7973
1950,2341,1211,2701,451,765,1850,896,10215
1951,2411,1240,2762,473,782,1927,918,10513
1952,2553,1305,2904,520,811,2109,943,11145
1953,2629,1373,2974,556,826,2490,969,11817
1954,2718,1483,3086,601,883,2761,997,12529
1955,2962,1657,3401,635,1061,2942,1046,13704
1956,3097,1752,3523,659,1108,3376,1093,14608
1957,3222,1837,3625,693,1139,3593,1139,15248
1958,3331,1971,3782,718,1208,3953,1172,16135
1959,3448,2096,3881,750,1240,4550,1229,17194
1960,3689,2633,4579,816,1473,5094,1355,19639
1961,3855,2754,4696,849,1493,5603,1414,20664
1962,4061,3012,4882,883,1541,6095,1472,21946
1963,4224,3203,4974,918,1568,6646,1525,23058
1964,4430,3474,5151,952,1633,7105,1610,24355
1965,4736,3898,5469,994,1820,7542,1738,26197
1966,4895,4145,5568,1025,1894,7771,1808,27106
1967,5079,4384,5688,1067,1992,8032,1851,28093
1968,5280,4831,5948,1104,2172,8506,1891,29732
1969,5444,5141,6139,1158,2291,8717,1940,30830
1970,5589,5781,6365,1269,2584,9161,2036,32785
1971,5907,6134,6554,1365,2721,9610,2105,34396
1972,6208,6656,6950,1461,3074,10166,2188,36703
1973,6532,7172,7160,1543,3391,10744,2261,38803
1974,6633,7612,7500,1659,3707,11222,2352,40685
1975,6925,7939,7777,1777,4017,11711,2439,42585
1976,7088,8297,8057,1893,4472,12224,2478,44509
1977,7388,8860,8475,2064,4993,12805,2562,47147
1978,7645,9382,8942,2240,5722,13387,2655,49973
1979,7852,9913,9398,2374,6309,13841,2737,52424
1980,8048,10396,9822,2478,6867,14216,2773,54600
1981,8209,10915,10142,2583,7394,14502,2834,56579
1982,8327,11465,10572,2667,7846,14974,2890,58741
1983,8443,12375,11051,2789,8477,15600,2927,61662
1984,8612,13173,11648,2954,9536,16293,2973,65189
1985,8771,14008,12222,3192,10393,16950,3034,68570
1986,8952,14740,12828,3524,11174,17710,3083,72011
1987,9165,15387,13436,3911,12186,18404,3136,75625
1988,9321,16027,13791,4180,13185,18870,3185,78559
1989,9468,16623,14246,4484,13818,19255,3226,81120
1990,9611,17194,14612,4714,14332,19661,3263,83387
1991,9726,17712,14993,4904,14675,20071,3306,85387
1992,9857,18375,15401,5224,15097,20597,3339,87890
1993,9958,18983,15846,5531,15601,21155,3389,90463
1994,10098,19804,16413,5953,16150,21808,3446,93672
1995,10262,20532,16957,6366,16644,22337,3518,96616
1996,10418,21409,17533,6745,17121,22915,3560,99701
1997,10587,22547,18067,7198,17648,23575,3613,103235
1998,10784,23709,18699,7611,18298,24239,3679,107019
1999,10992,24862,19231,7909,19107,24941,3720,110762
2000,11177,26155,19663,8323,19899,25568,3790,114575
2001,11348,27305,20136,8792,20774,26231,3830,118416
2002,11522,28672,20657,9306,21670,27000,3870,122697
2003,11668,30413,21095,9870,22497,27805,3895,127243
2004,11827,32507,21828,10537,23370,29054,3944,133067
2005,12002,35518,22766,11059,24046,30403,3977,139771
2006,12196,38388,23465,11408,24418,31822,4008,145705
2007,12407,40100,23877,11634,24709,33206,4052,149985
2008,12570,41240,24182,11775,24906,34313,4080,153066
2009,12682,41951,24347,11896,25047,35512,4097,155532
2010,12771,42793,24582,12044,25182,37341,4113,158826
2011,12858,43571,24820,12180,25336,39016,4129,161910
2012,12950,44443,25071,12373,25528,40794,4143,165302
2013,13012,45707,25331,12604,25746,42107,4156,168663
2014,13069,47120,25575,12848,25964,42895,4167,171638
2015,13144,48911,25889,13123,26243,43644,4173,175127
2016,13221,50679,26173,13402,26546,44363,4188,178572
2017,13327,52865,26545,13699,26809,45145,4197,182587
2018,13420,54994,26853,14119,27106,45978,4204,186674
2019,13517,57283,27228,14514,27335,47038,4218,191133
2020,13613,59648,27618,14984,27607,48167,4229,195866
2021,13745,62630,28243,15521,27927,49334,4241,201641
2022,13893,66295,28782,15807,28242,50490,4253,207762
