Year,Population
1981,606469
1982,617891
1983,631296
1984,645779
1985,660670
1986,674453
1987,684072
1988,692355
1989,704089
1990,713623
1991,724744
1992,730632
1993,743903
1994,754481
1995,769001
1996,784128
1997,797127
1998,812129
1999,819888
2000,828369
2001,838243
2002,850967
2003,858866
2004,882822
2005,900465
2006,924848
2007,942238
2008,961609
2009,975829
2010,1000490
2011,1004802
2012,1015517
2013,1023971
2014,1031080
2015,1039697
2016,1049362
2017,1062395
2018,1076318
2019,1087211
2020,
2021,
