"","...1","Year","Angler_Trips","PSE","Estimate_Status"
"1",1,1981,6759130,10,"FINAL"
"2",2,1982,6862191,7.2,"FINAL"
"3",3,1983,10272113,10,"FINAL"
"4",4,1984,9387842,7.4,"FINAL"
"5",5,1985,8873553,7.1,"FINAL"
"6",6,1986,9171802,8,"FINAL"
"7",7,1987,9033255,6.2,"FINAL"
"8",8,1988,10480270,6.7,"FINAL"
"9",9,1989,10672633,4.9,"FINAL"
"10",10,1990,12112788,5.8,"FINAL"
"11",11,1991,11226071,4.2,"FINAL"
"12",12,1992,11866004,4.6,"FINAL"
"13",13,1993,10862180,3.8,"FINAL"
"14",14,1994,10530255,3.7,"FINAL"
"15",15,1995,9991653,3.4,"FINAL"
"16",16,1996,10423321,3.4,"FINAL"
"17",17,1997,11155069,3.3,"FINAL"
"18",18,1998,11108817,3.5,"FINAL"
"19",19,1999,12682792,3.6,"FINAL"
"20",20,2000,15327944,3.9,"FINAL"
"21",21,2001,15109488,3.9,"FINAL"
"22",22,2002,15096859,4,"FINAL"
"23",23,2003,15476042,3.8,"FINAL"
"24",24,2004,17400870,4.2,"FINAL"
"25",25,2005,17150375,4.6,"FINAL"
"26",26,2006,19614943,4.9,"FINAL"
"27",27,2007,18146146,4.3,"FINAL"
"28",28,2008,19328098,4.1,"FINAL"
"29",29,2009,19345187,4.3,"FINAL"
"30",30,2010,20173323,4,"FINAL"
"31",31,2011,19468850,3.9,"FINAL"
"32",32,2012,18555348,3.7,"FINAL"
"33",33,2013,18085862,4,"FINAL"
"34",34,2014,18926498,4.5,"FINAL"
"35",35,2015,20322840,5.8,"FINAL"
"36",36,2016,21158845,5.8,"FINAL"
"37",37,2017,22452276,7.8,"FINAL"
"38",38,2018,16624306,5.2,"FINAL"
"39",39,2019,17539840,5,"FINAL"
"40",40,2020,16399233,4.9,"FINAL"
"41",41,2021,17944614,6.1,"FINAL"
"42",42,2022,16050572,7.2,"PRELIMINARY"
