Year,Angler_Trips
1981,6759130
1982,6862191
1983,10272113
1984,9387842
1985,8873553
1986,9171802
1987,9033255
1988,10480270
1989,10672633
1990,12112788
1991,11226071
1992,11866004
1993,10862180
1994,10530255
1995,9991653
1996,10423321
1997,11155069
1998,11108817
1999,12682792
2000,15327944
2001,15109488
2002,15096859
2003,15476042
2004,17400870
2005,17150375
2006,19614943
2007,18146146
2008,19328098
2009,19345187
2010,20173323
2011,19468850
2012,18555348
2013,18085862
2014,18926498
2015,20322840
2016,21158845
2017,22452276
2018,16624306
2019,17539840
2020,16399233
2021,17944614
2022,16050572
