"","Year","Species","Pounds"
"1",1985,"Menhaden Bait",2925363
"2",1985,"Menhaden Reduction",94813040
"3",1986,"Menhaden Bait",3566771
"4",1986,"Menhaden Reduction",62811160
"5",1987,"Menhaden Bait",4031181
"6",1987,"Menhaden Reduction",51467390
"7",1988,"Menhaden Bait",4376073
"8",1988,"Menhaden Reduction",69339640
"9",1989,"Menhaden Bait",5228178
"10",1989,"Menhaden Reduction",61528110
"11",1990,"Menhaden Bait",4761649
"12",1990,"Menhaden Reduction",67470340
"13",1991,"Menhaden Bait",4308294
"14",1991,"Menhaden Reduction",106220460
"15",1992,"Menhaden Bait",3408522
"16",1992,"Menhaden Reduction",54107190
"17",1993,"Menhaden Bait",1577284
"18",1993,"Menhaden Reduction",63134100
"19",1994,"Menhaden Bait",5605871.37
"20",1995,"Menhaden Bait",2792185.5
"21",1996,"Menhaden Bait",1002013.01
"22",1997,"Menhaden Bait",3446666.87
"23",1998,"Menhaden Bait",3193384.66
"24",1999,"Menhaden Bait",2651470.33
"25",2000,"Menhaden Bait",1887201.91
"26",2001,"Menhaden Bait",2868578.24
"27",2002,"Menhaden Bait",2456685.51
"28",2003,"Menhaden Bait",1710212.17
"29",2004,"Menhaden Bait",1092452.58
"30",2005,"Menhaden Bait",1503632.88
"31",2006,"Menhaden Bait",962650.64
"32",2007,"Menhaden Bait",1134208.25
"33",2008,"Menhaden Bait",645230.62
"34",2009,"Menhaden Bait",2124733.59
"35",2010,"Menhaden Bait",1299149.89
"36",2011,"Menhaden Bait",3530003.06
"37",2012,"Menhaden Bait",538791.72
"38",2013,"Menhaden Bait",454206.17
"39",2014,"Menhaden Bait",917904.97
"40",2015,"Menhaden Bait",898321.5
"41",2016,"Menhaden Bait",398043.7
"42",2017,"Menhaden Bait",752799.23
"43",2018,"Menhaden Bait",713978.14
"44",2019,"Menhaden Bait",551849.47
"45",2020,"Menhaden Bait",599742.14
"46",2021,"Menhaden Bait",430623.16
"47",1994,"Menhaden Reduction",68248030
"48",1995,"Menhaden Reduction",55581895
"49",1996,"Menhaden Reduction",52848930
"50",1997,"Menhaden Reduction",94280390
"51",1998,"Menhaden Reduction",54783070
"52",1999,"Menhaden Reduction",40147610
"53",2000,"Menhaden Reduction",54392910
"54",2001,"Menhaden Reduction",53143817.77
"55",2002,"Menhaden Reduction",66733910
"56",2003,"Menhaden Reduction",47226290
"57",2004,"Menhaden Reduction",49485530
"58",2005,"Menhaden Reduction",11883790
