Year,Species,Pounds
1994,Bay Scallop,63953.85
1994,Blue Crab,53513123.63
1994,Hard Clams,690793.85
1994,Kingfishes,620841
1994,Oyster,183703.73
1994,Red Drum,142168.89
1994,River Herring,644333.51
1994,Southern Flounder,4878605.75
1994,Spotted Seatrout,412358.08
1994,Striped Bass,261899.74
1994,Striped Mullet,1726241.64
1995,Bay Scallop,173795.52
1995,Blue Crab,46443653.2
1995,Hard Clams,702653.6
1995,Kingfishes,1058784.66
1995,Oyster,220661.17
1995,Red Drum,248122.07
1995,River Herring,453984.48
1995,Southern Flounder,4166946.91
1995,Spotted Seatrout,574295.61
1995,Striped Bass,446789.06
1995,Striped Mullet,2298446.42
1996,Bay Scallop,27388.44
1996,Blue Crab,67080199.71
1996,Hard Clams,619836.98
1996,Kingfishes,528260.44
1996,Oyster,210931.09
1996,Red Drum,113338.24
1996,River Herring,529502.65
1996,Southern Flounder,3807008.63
1996,Spotted Seatrout,226588.82
1996,Striped Bass,181599.76
1996,Striped Mullet,1756863.05
1997,Bay Scallop,54606.49
1997,Blue Crab,56090109.01
1997,Hard Clams,696295.05
1997,Kingfishes,872888.44
1997,Oyster,218970.28
1997,Red Drum,52502.39
1997,River Herring,334808.73
1997,Southern Flounder,4076791.33
1997,Spotted Seatrout,232496.97
1997,Striped Bass,587785.53
1997,Striped Mullet,2442656.5
1998,Bay Scallop,102818.63
1998,Blue Crab,62076170.45
1998,Hard Clams,689510.21
1998,Kingfishes,399312.65
1998,Oyster,224214.01
1998,Red Drum,294365.51
1998,River Herring,521930.33
1998,Southern Flounder,3952563.48
1998,Spotted Seatrout,307671.07
1998,Striped Bass,422868.5
1998,Striped Mullet,2218107.9
1999,Bay Scallop,29650.99
1999,Blue Crab,57545842.55
1999,Hard Clams,576836.16
1999,Kingfishes,607465.24
1999,Oyster,216831.06
1999,Red Drum,372941.91
1999,River Herring,443494.14
1999,"Shrimp, Brown",1672958.76
1999,"Shrimp, Pink",10059.95
1999,"Shrimp, White",3659301.72
1999,Southern Flounder,2933275.84
1999,Spotted Seatrout,546674.83
1999,Striped Bass,588311.39
1999,Striped Mullet,1460850.31
2000,Bay Scallop,21029.1
2000,Blue Crab,40638384.29
