"","Year","ProductName","Licenses"
"1",1994,"Dealer",739
"2",1994,"ETS",6779
"3",1995,"Dealer",753
"4",1995,"ETS",7534
"5",1996,"Dealer",849
"6",1996,"ETS",7801
"7",1997,"Dealer",814
"8",1997,"ETS",8175
"9",1998,"Dealer",809
"10",1998,"ETS",8317
"11",1999,"Dealer",868
"12",1999,"ETS",8401
"13",2000,"CFVR",8941
"14",2000,"Dealer",833
"15",2000,"RSCFL",515
"16",2000,"SCFL",6989
"17",2000,"Shellfish w/o SCFL",2097
"18",2001,"CFVR",9456
"19",2001,"Dealer",833
"20",2001,"RSCFL",630
"21",2001,"SCFL",6783
"22",2001,"Shellfish w/o SCFL",2176
"23",2002,"CFVR",9469
"24",2002,"Dealer",832
"25",2002,"RSCFL",676
"26",2002,"SCFL",6632
"27",2002,"Shellfish w/o SCFL",2302
"28",2003,"CFVR",9452
"29",2003,"Dealer",865
"30",2003,"RSCFL",727
"31",2003,"SCFL",6505
"32",2003,"Shellfish w/o SCFL",2131
"33",2004,"CFVR",9256
"34",2004,"Dealer",858
"35",2004,"RSCFL",754
"36",2004,"SCFL",6421
"37",2004,"Shellfish w/o SCFL",1835
"38",2005,"CFVR",9012
"39",2005,"Dealer",820
"40",2005,"RSCFL",754
"41",2005,"SCFL",6301
"42",2005,"Shellfish w/o SCFL",1623
"43",2006,"CFVR",8785
"44",2006,"Dealer",763
"45",2006,"RSCFL",787
"46",2006,"SCFL",6172
"47",2006,"Shellfish w/o SCFL",1528
"48",2007,"CFVR",8821
"49",2007,"Dealer",748
"50",2007,"RSCFL",853
"51",2007,"SCFL",6053
"52",2007,"Shellfish w/o SCFL",1626
"53",2008,"CFVR",8839
"54",2008,"Dealer",731
"55",2008,"RSCFL",912
"56",2008,"SCFL",5949
"57",2008,"Shellfish w/o SCFL",1706
"58",2009,"CFVR",9084
"59",2009,"Dealer",777
"60",2009,"RSCFL",959
"61",2009,"SCFL",5868
"62",2009,"Shellfish w/o SCFL",2128
"63",2010,"CFVR",8912
"64",2010,"Dealer",825
"65",2010,"RSCFL",1018
"66",2010,"SCFL",5797
"67",2010,"Shellfish w/o SCFL",2001
"68",2011,"CFVR",8798
"69",2011,"Dealer",828
"70",2011,"RSCFL",1071
"71",2011,"SCFL",5748
"72",2011,"Shellfish w/o SCFL",2151
"73",2012,"CFVR",8573
"74",2012,"Dealer",783
"75",2012,"RSCFL",1121
"76",2012,"SCFL",5643
"77",2012,"Shellfish w/o SCFL",1770
"78",2013,"CFVR",8335
"79",2013,"Dealer",770
"80",2013,"RSCFL",1159
"81",2013,"SCFL",5540
"82",2013,"Shellfish w/o SCFL",1712
"83",2014,"CFVR",8284
"84",2014,"Dealer",758
"85",2014,"RSCFL",1191
"86",2014,"SCFL",5494
"87",2014,"Shellfish w/o SCFL",1428
"88",2015,"CFVR",8103
"89",2015,"Dealer",734
"90",2015,"RSCFL",1231
"91",2015,"SCFL",5404
"92",2015,"Shellfish w/o SCFL",1319
"93",2016,"CFVR",7777
"94",2016,"Dealer",712
"95",2016,"RSCFL",1323
"96",2016,"SCFL",5142
"97",2016,"Shellfish w/o SCFL",1109
"98",2017,"CFVR",7269
"99",2017,"Dealer",693
"100",2017,"RSCFL",1328
"101",2017,"SCFL",4968
"102",2017,"Shellfish w/o SCFL",988
"103",2018,"CFVR",7016
"104",2018,"Dealer",660
"105",2018,"RSCFL",1340
"106",2018,"SCFL",4824
"107",2018,"Shellfish w/o SCFL",775
"108",2019,"CFVR",6634
"109",2019,"Dealer",681
"110",2019,"RSCFL",1373
"111",2019,"SCFL",4545
"112",2019,"Shellfish w/o SCFL",584
"113",2020,"CFVR",6506
"114",2020,"Dealer",671
"115",2020,"RSCFL",1403
"116",2020,"SCFL",4429
"117",2020,"Shellfish w/o SCFL",571
"118",2021,"CFVR",6423
"119",2021,"Dealer",687
"120",2021,"RSCFL",1385
"121",2021,"SCFL",4321
"122",2021,"Shellfish w/o SCFL",525
"123",2022,"CFVR",6558
"124",2022,"Dealer",675
"125",2022,"RSCFL",1392
"126",2022,"SCFL",4163
"127",2022,"Shellfish w/o SCFL",518
"128",2023,"CFVR",6128
"129",2023,"Dealer",631
"130",2023,"RSCFL",1308
"131",2023,"SCFL",3530
"132",2023,"Shellfish w/o SCFL",527
