"","Species","Year","Private_lbs","Public_lbs"
"1","Oyster",1994,18573.18,165130.55
"2","Oyster",1995,25655.61,195005.56
"3","Oyster",1996,28085.63,182845.46
"4","Oyster",1997,35303.6,183666.68
"5","Oyster",1998,32882.53,191331.48
"6","Oyster",1999,32527.14,184303.92
"7","Oyster",2000,23588.73,179837.83
"8","Oyster",2001,36867.77,221218.7
"9","Oyster",2002,36817.08,206958.08
"10","Oyster",2003,37160.93,223882.11
"11","Oyster",2004,54579.58,313381.66
"12","Oyster",2005,59221.55,318792.88
"13","Oyster",2006,63412.55,384476.3
"14","Oyster",2007,57254.99,384160.28
"15","Oyster",2008,51783.81,414392.57
"16","Oyster",2009,33437.3,540192.37
"17","Oyster",2010,54112.96,986293.94
"18","Oyster",2011,62015.89,738527.27
"19","Oyster",2012,47347.21,392715.53
"20","Oyster",2013,77421.76,509202.79
"21","Oyster",2014,112390.66,615384.52
"22","Oyster",2015,163410.47,485033.83
"23","Oyster",2016,305673.41,362749.15
"24","Oyster",2017,462395.83,390452.15
"25","Oyster",2018,405156.6,220121.21
"26","Oyster",2019,596949.91,235758.46
"27","Oyster",2020,595923.52,233182.02
"28","Oyster",2021,960648.53,266751.42
