"","Year","Waterbody","sum_participants"
"1",1994,"Bay River",13
"2",1994,"Bogue Sound",48
"3",1994,"Cape Fear River",52
"4",1994,"Core Sound",256
"5",1994,"Croatan Sound",16
"6",1994,"Inland Waterway",104
"7",1994,"Lockwood's Folly",3
"8",1994,"Masonboro Sound",27
"9",1994,"Neuse River",63
"10",1994,"New River",134
"11",1994,"Newport River",84
"12",1994,"North River/Back Sound",90
"13",1994,"Ocean 0-3 mi, N of Cape Hatt",1
"14",1994,"Ocean less than 3 miles",171
"15",1994,"Ocean more than 3 miles",43
"16",1994,"Pamlico River",25
"17",1994,"Pamlico Sound",288
"18",1994,"Roanoke Sound",24
"19",1994,"Shallotte River",14
"20",1994,"Stump Sound",41
"21",1994,"Topsail Sound",47
"22",1994,"White Oak River",36
"23",1995,"Bay River",14
"24",1995,"Bogue Sound",62
"25",1995,"Cape Fear River",36
"26",1995,"Core Sound",290
"27",1995,"Croatan Sound",16
"28",1995,"Inland Waterway",132
"29",1995,"Lockwood's Folly",2
"30",1995,"Masonboro Sound",12
"31",1995,"Neuse River",77
"32",1995,"New River",182
"33",1995,"Newport River",75
"34",1995,"North River/Back Sound",157
"35",1995,"Ocean 0-3 mi, N of Cape Hatt",19
"36",1995,"Ocean 0-3 mi, S of Cape Hatt",65
"37",1995,"Ocean >3 mi, S of Cape Hatt",11
"38",1995,"Ocean less than 3 miles",190
"39",1995,"Ocean more than 3 miles",52
"40",1995,"Pamlico River",39
"41",1995,"Pamlico Sound",303
"42",1995,"Roanoke Sound",15
"43",1995,"Shallotte River and Lockwood's Folly (landings only)",5
"44",1995,"Stump Sound",48
"45",1995,"Topsail Sound",64
"46",1995,"White Oak River",25
"47",1996,"Bay River",10
"48",1996,"Bogue Sound",48
"49",1996,"Cape Fear River",33
"50",1996,"Core Sound",221
"51",1996,"Croatan Sound",17
"52",1996,"Currituck Sound",1
"53",1996,"Inland Waterway",115
"54",1996,"Lockwood's Folly",3
"55",1996,"Masonboro Sound",11
"56",1996,"Neuse River",70
"57",1996,"New River",136
"58",1996,"Newport River",78
"59",1996,"North River/Back Sound",83
"60",1996,"Ocean 0-3 mi, N of Cape Hatt",15
"61",1996,"Ocean 0-3 mi, S of Cape Hatt",143
"62",1996,"Ocean >3 mi, N of Cape Hatt",8
