Year,VesselLengthRange,Count
2022,0-18ft.,2563
2022,19-38ft.,3509
2022,39-50ft.,207
2022,>50ft.,280
2021,0-18ft.,2540
2021,19-38ft.,3400
2021,39-50ft.,216
2021,>50ft.,269
2020,0-18ft.,2643
2020,19-38ft.,3374
2020,39-50ft.,217
2020,>50ft.,272
2019,0-18ft.,2764
2019,19-38ft.,3392
2019,39-50ft.,224
2019,>50ft.,255
2018,0-18ft.,2985
2018,19-38ft.,3561
2018,39-50ft.,225
2018,>50ft.,245
2017,0-18ft.,3122
2017,19-38ft.,3676
2017,39-50ft.,231
2017,>50ft.,241
2016,0-18ft.,3460
2016,19-38ft.,3850
2016,39-50ft.,234
2016,>50ft.,231
2015,0-18ft.,3753
2015,19-38ft.,3900
2015,39-50ft.,218
2015,>50ft.,232
2014,0-18ft.,3896
2014,19-38ft.,3946
2014,39-50ft.,207
2014,>50ft.,235
2013,0-18ft.,3866
2013,19-38ft.,4009
2013,39-50ft.,218
2013,>50ft.,244
2012,0-18ft.,3949
2012,19-38ft.,4130
2012,39-50ft.,234
2012,>50ft.,262
2011,0-18ft.,4015
2011,19-38ft.,4224
2011,39-50ft.,264
2011,>50ft.,296
2010,0-18ft.,4030
2010,19-38ft.,4311
2010,39-50ft.,282
2010,>50ft.,293
2009,0-18ft.,4120
2009,19-38ft.,4363
2009,39-50ft.,289
2009,>50ft.,316
2008,0-18ft.,4003
2008,19-38ft.,4249
2008,39-50ft.,286
2008,>50ft.,308
2007,0-18ft.,4013
2007,19-38ft.,4221
2007,39-50ft.,295
2007,>50ft.,302
2006,0-18ft.,3967
2006,19-38ft.,4241
2006,39-50ft.,304
2006,>50ft.,289
2005,0-18ft.,4078
2005,19-38ft.,4332
2005,39-50ft.,304
2005,>50ft.,306
2004,0-18ft.,4328
2004,19-38ft.,4311
2004,39-50ft.,303
2004,>50ft.,318
2003,0-18ft.,4489
2003,19-38ft.,4333
2003,39-50ft.,309
2003,>50ft.,324
2002,0-18ft.,4584
2002,19-38ft.,4262
2002,39-50ft.,314
2002,>50ft.,312
2001,0-18ft.,4650
2001,19-38ft.,4191
2001,39-50ft.,300
2001,>50ft.,316
2000,0-18ft.,4361
2000,19-38ft.,4003
2000,39-50ft.,298
2000,>50ft.,281
