Year,CapeFearNitrogenLoading
1974,9879.656483
1975,11644.44475
1976,12287.96308
1977,11312.23739
1978,6887.418607
1979,15651.2021
1980,5533.408647
1981,6931.563071
1982,9268.505101
1983,13629.98963
1984,4958.95392
1985,15582.23856
1986,5397.799347
1987,4818.54136
1988,7249.082024
1989,20892.97728
1990,12444.02776
1991,4986.027636
1992,14072.91806
1993,5896.061123
1994,6846.073553
1995,19483.66888
1996,17555.20767
1997,8334.709123
1998,4414.417225
1999,17756.99395
2000,5994.463528
2001,4218.924372
2002,22857.6983
2003,12356.65604
2004,12942.75115
2005,10672.22101
2006,25038.98471
2007,4461.061185
2008,12796.82368
2009,23204.66387
2010,7485.246459
2011,7848.802932
2012,6851.744486
2013,8143.005711
2014,8729.610318
2015,36004.10947
2016,25608.95506
2017,4776.748665
2018,50615.15821
2019,12135.26019
2020,34118.73502
