Year,CapeFearRiverPhosphorusLoading
1974,2249.262616
1975,2671.277556
1976,2929.894976
1977,2539.22607
1978,1426.34465
1979,3702.659364
1980,1125.787825
1981,1430.018199
1982,1826.75725
1983,2605.509419
1984,1055.517742
1985,2704.899245
1986,880.0693792
1987,731.4666032
1988,1076.699619
1989,3390.571843
1990,1897.691289
1991,578.7618501
1992,1907.857981
1993,748.2421268
1994,964.5391931
1995,3325.835387
1996,2896.662365
1997,1385.411653
1998,870.8906194
1999,3102.917117
2000,1056.130046
2001,752.6600404
2002,3453.069049
2003,1729.714779
2004,1715.056703
2005,1347.030948
2006,3453.118143
2007,508.9336107
2008,1496.916849
2009,3161.295207
2010,903.3266687
2011,891.1341829
2012,745.629592
2013,937.7437838
2014,1009.286017
2015,5310.352032
2016,4023.590024
2017,541.5245584
2018,7171.735857
2019,1328.611393
2020,4270.22889
