Year,ChowanRiverNitrogenLoading
1974,1041.231605
1975,5977.450685
1976,3406.788927
1977,6050.98503
1978,2118.173169
1979,8784.702504
1980,274.8446296
1981,891.1238631
1982,3935.358996
1983,2740.051837
1984,853.520737
1985,7869.693962
1986,1801.034999
1987,1285.972461
1988,879.9330831
1989,3642.775833
1990,877.9241509
1991,541.5556273
1992,2030.333852
1993,919.0312243
1994,643.9156656
1995,1164.503668
1996,7611.356287
1997,1480.922789
1998,377.4017098
1999,4275.707665
2000,1269.369679
2001,121.4119462
2002,4224.960246
2003,6567.381579
2004,6366.71559
2005,1953.823434
2006,12017.56142
2007,304.9078799
2008,2051.049696
2009,9062.308867
2010,2106.817432
2011,3936.987265
2012,1408.396082
2013,2730.401445
2014,1814.62568
2015,4852.668017
2016,3265.035758
2017,683.61227
2018,9148.721688
2019,1812.89111
