Year,ChowanRiverPhosphorusLoading
1974,2918.044264
1975,4256.662774
1976,2872.820874
1977,2718.663997
1978,1511.375346
1979,2268.665374
1980,93.30259566
1981,329.178403
1982,744.9726383
1983,442.2744834
1984,166.4101207
1985,1017.13234
1986,269.1405284
1987,220.4068001
1988,159.4375248
1989,508.779096
1990,161.6297823
1991,96.80700634
1992,350.8810102
1993,180.8680462
1994,127.427494
1995,225.871104
1996,1292.412592
1997,295.3952252
1998,86.64160301
1999,693.4244795
2000,231.5749167
2001,22.75307548
2002,602.9492778
2003,864.20968
2004,834.4383811
2005,287.8824145
2006,1424.70903
2007,44.60542409
2008,257.226138
2009,914.9803741
2010,230.9671286
2011,440.4563509
2012,153.7139985
2013,284.0074473
2014,187.7070281
2015,432.721647
2016,221.8869976
2017,69.34767897
2018,739.7161895
2019,173.7196284
