Year,NeuseRiverNitrogenLoading
1974,8339.667121
1975,9721.877308
1976,7902.125951
1977,10560.24592
1978,5470.721755
1979,13499.33145
1980,5127.058532
1981,4305.74933
1982,8296.528506
1983,7807.544213
1984,6183.227509
1985,9230.284346
1986,4081.922629
1987,3131.331029
1988,6243.407739
1989,16801.46657
1990,5997.987793
1991,4856.495159
1992,12926.73218
1993,5130.431562
1994,4019.412696
1995,15439.12173
1996,16867.71327
1997,5640.813916
1998,3743.587901
1999,22414.58561
2000,4972.678414
2001,2143.598012
2002,10245.89607
2003,11354.0347
2004,6217.524112
2005,6869.708935
2006,17038.2535
2007,2073.474576
2008,8121.563759
2009,13672.7533
2010,7460.601352
2011,3750.66925
2012,3917.383463
2013,6909.500654
2014,10770.43446
2015,18695.50191
2016,24162.42236
2017,3610.101906
2018,22317.11046
2019,5897.617486
2020,20645.56985
