Year,NeuseRiverPhosphorusLoading
1974,1316.929293
1975,1622.698687
1976,1208.267584
1977,1677.497231
1978,877.6562072
1979,2297.218945
1980,902.7050144
1981,749.0063072
1982,1391.523081
1983,1241.736442
1984,1148.486716
1985,1407.745826
1986,712.1927216
1987,557.4258542
1988,933.1180722
1989,2194.985285
1990,773.5385554
1991,584.4444058
1992,1290.404165
1993,456.9920145
1994,366.2816678
1995,1715.996666
1996,1961.552166
1997,537.0480287
1998,359.2979606
1999,3704.695604
2000,601.8165882
2001,245.8365937
2002,1115.87396
2003,1241.352086
2004,701.6475641
2005,740.1095245
2006,1612.359742
2007,226.2733538
2008,797.3341314
2009,1163.376224
2010,886.610638
2011,395.0685509
2012,392.7778606
2013,604.7420116
2014,966.0628042
2015,1739.735499
2016,2702.648403
2017,320.8711739
2018,1996.554086
2019,484.7949916
2020,1923.352801
