"year","NEUSEdissolvedoxygen"
1970,6.56666666666667
1971,6.060625
1972,6.48590909090909
1973,6.6053125
1975,7.18
1976,8.26851851851852
1977,8.39285714285714
1978,6.73333333333333
1979,8.36805555555556
1980,7.41458333333333
1981,8.54166666666667
1982,6.61960784313725
1983,8.97222222222222
1984,7.68958333333333
1985,6.74666666666667
1986,6.94166666666667
1987,7.88222222222222
1988,6.82708333333333
1989,8.16973684210526
1990,7.5376747311828
1991,7.25989168247944
1992,7.55101043643264
1993,7.00574532085562
1994,6.79848484848485
1995,7.85279411764706
1996,7.4219708994709
1997,9.67
1998,8.41159370199693
1999,8.59644736842105
2000,8.99461259079903
2001,8.17313172043011
2002,8.56263538748833
2003,9.42951388888889
2004,9.54045112781955
2005,7.98447044334975
2006,8.32383982683983
2007,7.24318270165209
2008,7.894
2009,7.46885141093474
2010,8.29202380952381
2011,7.48481481481481
2012,7.24833333333333
2013,8.14222222222222
2014,8.49487654320988
2015,7.31100694444444
2016,9.248
2017,7.70852210716553
2018,8.70899073809524
2019,8.693
