"year","NEUSEpH"
1970,7.95
1971,NA
1972,NA
1973,NA
1975,NA
1976,NA
1977,NA
1978,7.42380952380952
1979,7.13125
1980,7.4
1981,7.45294117647059
1982,6.97058823529412
1983,7.05614035087719
1984,7.0375
1985,7.25333333333333
1986,7.8
1987,7.82857142857143
1988,7.53888888888889
1989,7.31176470588235
1990,7.86071428571429
1991,7.76451612903226
1992,7.49111111111111
1993,7.78333333333333
1994,7.8030303030303
1995,7.5530303030303
1996,7.04777248677249
1997,8.1
1998,7.71792626728111
1999,7.23043024227235
2000,7.68130750605327
2001,7.67687403993856
2002,7.69343137254902
2003,7.51183134920635
2004,7.6334857978279
2005,7.45419540229885
2006,7.42480024213075
2007,7.77833333333333
2008,7.61915555555556
2009,7.61831168831169
2010,7.31535714285714
2011,7.40524691358025
2012,7.41852564102564
2013,7.49468253968254
2014,7.55271604938272
2015,7.09688888888889
2016,7.33091666666667
2017,7.54232144935897
2018,7.03461941507936
2019,7.48926984126984
