"year","NEUSEsalinity"
1970,NA
1971,2.27291666666667
1972,7.31458333333333
1973,13.4375
1975,NA
1976,NA
1977,NA
1978,NA
1979,NA
1980,NA
1981,9.25
1982,1.4
1983,5.85
1984,2.4375
1985,6.24333333333333
1986,9.23333333333333
1987,7.71333333333333
1988,12.8194444444444
1989,4.48815789473684
1990,11.0711693548387
1991,10.3437492093612
1992,8.03276091081594
1993,11.3903743315508
1994,15.6901515151515
1995,6.37352941176471
1996,3.17147435897436
1997,14.03
1998,9.9026267281106
1999,2.49173558897243
2000,8.73422902494331
2001,16.3138306451613
2002,12.4981932773109
2003,4.08089126984127
2004,6.00573015873016
2005,6.32299055829228
2006,7.57123688458434
2007,16.2216933421517
2008,15.4820880952381
2009,13.6240108225108
2010,8.28915476190476
2011,10.3228703703704
2012,11.3073641975309
2013,10.6463106060606
2014,6.93374074074074
2015,4.31127777777778
2016,3.22811111111111
2017,11.2369427132784
2018,1.128996885425
2019,9.46921111111111
