"","year","NEUSEtemperature"
"1",1970,18
"2",1971,16.5696759259259
"3",1972,14.9222222222222
"4",1973,15.3939236111111
"5",1975,19.4
"6",1976,13.1111111111111
"7",1977,13.8571428571429
"8",1978,18.2857142857143
"9",1979,14.5902777777778
"10",1980,15.9375
"11",1981,12.9166666666667
"12",1982,16.1960784313725
"13",1983,12.5126102292769
"14",1984,15.1875
"15",1985,17.1643209876543
"16",1986,18.2708333333333
"17",1987,14.6585802469136
"18",1988,14.2861111111111
"19",1989,13.8078947368421
"20",1990,15.408064516129
"21",1991,15.0917483660131
"22",1992,15.3340607210626
"23",1993,16.8973707664884
"24",1994,16.4301346801347
"25",1995,15.2841503267974
"26",1996,14.9083134920635
"27",1997,18.7
"28",1998,16.2339516129032
"29",1999,15.2369068504595
"30",2000,14.3683817594835
"31",2001,16.8607757296467
"32",2002,15.4871101774043
"33",2003,14.9389900793651
"34",2004,16.5015705931495
"35",2005,17.1217405582923
"36",2006,16.2808272800646
"37",2007,17.6709104938272
"38",2008,14.5987428571429
"39",2009,17.4978181818182
"40",2010,13.1955357142857
"41",2011,15.4875308641975
"42",2012,14.7038888888889
"43",2013,13.6238888888889
"44",2014,13.5596913580247
"45",2015,17.365
"46",2016,11.9640833333333
"47",2017,14.8110818138278
"48",2018,12.8664174920635
"49",2019,13.0578095238095
