"year","ALBEMARLEpH"
1971,NA
1972,NA
1973,NA
1978,7.15
1980,7.25
1981,7.2
1982,7.23333333333333
1983,7.7
1984,7.35
1985,7.56428571428571
1986,7.33333333333333
1987,7.06666666666667
1988,7.56666666666667
1989,7.06666666666667
1990,7.58333333333333
1992,7.45
1993,7.53333333333333
1994,8.05
1995,7.45833333333333
1996,7.8
1997,7.63333333333333
1998,7.80714285714286
1999,7.33146825396825
2000,6.99337301587302
2001,7.53702380952381
2002,7.49582010582011
2003,7.40781746031746
2004,7.49179894179894
2005,7.59992063492064
2006,7.19013605442177
2007,7.72162698412698
2008,7.80259259259259
2009,7.54251322751323
2010,7.72145833333333
2011,7.8615873015873
2012,7.80649206349206
2013,7.98648148148148
2014,7.9306746031746
2015,7.79017857142857
2016,7.17480158730159
2017,8.01206852380952
2019,7.74880952380952
