"year","ALBEMARLEsalinity"
1971,0.666666666666667
1972,0.294444444444444
1973,0.4
1978,NA
1980,NA
1981,8
1982,6.3
1983,3.875
1984,2.38333333333333
1985,3.66666666666667
1986,4.31111111111111
1987,3.42222222222222
1988,4.44444444444444
1989,0.34
1990,2.67647058823529
1992,4.375
1993,3.09375
1994,6.62729265739134
1995,4.78400297619048
1996,1.54166666666667
1997,4.74494708994709
1998,4.92017006802721
1999,1.7929708994709
2000,2.19626984126984
2001,7.00252100840336
2002,6.83308201058201
2003,1.51468452380952
2004,2.36136507936508
2005,4.50894973544974
2006,0.980757142857143
2007,7.4998
2008,8.22365800865801
2009,3.81114417989418
2010,3.04030654761905
2011,4.59725595238095
2012,5.27766825396825
2013,4.68388888888889
2014,3.55057275132275
2015,3.22919642857143
2016,0.591021825396825
2017,5.30239238095238
2019,5.25244047619048
