"","year","ALBEMARLEtemperature"
"1",1971,14.3990740740741
"2",1972,15.3117283950617
"3",1973,19.6273148148148
"4",1978,18
"5",1980,14.5
"6",1981,18
"7",1982,12.8902777777778
"8",1983,15.9166666666667
"9",1984,12.2777777777778
"10",1985,20.4005555555556
"11",1986,17.4444444444444
"12",1987,12
"13",1988,11.8333333333333
"14",1989,9.06666666666667
"15",1990,11.7614379084967
"16",1992,13.5
"17",1993,14
"18",1994,14.7091252436647
"19",1995,12.9
"20",1996,14.0541795665635
"21",1997,11.6211507936508
"22",1998,14.6210204081633
"23",1999,12.9689285714286
"24",2000,13.3539682539683
"25",2001,15.8069973544974
"26",2002,12.3505158730159
"27",2003,12.8190674603175
"28",2004,12.2909391534392
"29",2005,16.1356349206349
"30",2006,11.6294603174603
"31",2007,16.6591137566138
"32",2008,12.4112169312169
"33",2009,12.8064417989418
"34",2010,16.4594841269841
"35",2011,13.2988888888889
"36",2012,11.922873015873
"37",2013,12.4579232804233
"38",2014,12.6901058201058
"39",2015,14.6102678571429
"40",2016,17.8135317460317
"41",2017,18.1329471428571
"42",2019,14.1613095238095
