"year","ALBEMARLEtemperature"
1971,14.3990740740741
1972,15.3117283950617
1973,19.6273148148148
1978,18
1980,14.5
1981,18
1982,12.8902777777778
1983,15.9166666666667
1984,12.2777777777778
1985,20.4005555555556
1986,17.4444444444444
1987,12
1988,11.8333333333333
1989,9.06666666666667
1990,11.7614379084967
1992,13.5
1993,14
1994,14.7091252436647
1995,12.9
1996,14.0541795665635
1997,11.6211507936508
1998,14.6210204081633
1999,12.9689285714286
2000,13.3539682539683
2001,15.8069973544974
2002,12.3505158730159
2003,12.8190674603175
2004,12.2909391534392
2005,16.1356349206349
2006,11.6294603174603
2007,16.6591137566138
2008,12.4112169312169
2009,12.8064417989418
2010,16.4594841269841
2011,13.2988888888889
2012,11.922873015873
2013,12.4579232804233
2014,12.6901058201058
2015,14.6102678571429
2016,17.8135317460317
2017,18.1329471428571
2019,14.1613095238095
