"year","CHOWANdissolvedoxygen"
1971,6.57333333333333
1972,6.62
1973,5.625
1974,6.15
1976,10.1
1977,6.7875
1978,8.3
1979,5.73333333333333
1980,9.33333333333333
1981,10.3388888888889
1982,8.56666666666667
1983,9.7
1984,9.47777777777778
1985,6.63
1987,9.75555555555556
1988,9.01666666666667
1989,9.76
1990,7.07321428571429
1992,9.42
1993,8.17051282051282
1994,9.27802197802198
1995,8.38131868131868
1996,9.40604395604396
1997,10.5868055555556
1998,8.62855158730159
1999,8.88819444444444
2000,10.1011904761905
2001,9.425
2002,8.72430555555555
2003,9.05734126984127
2004,8.54587301587302
2005,9.04513888888889
2006,8.36097222222222
2007,9.65138888888889
2008,10.1429166666667
2009,8.56271825396825
2010,8.13288690476191
2011,9.47827380952381
2012,9.58544642857143
2013,9.51281746031746
2014,9.88511904761905
2015,8.07534391534391
2016,10.9155555555556
2017,10.1163503626984
2018,9.42190476190476
