"year","CHOWANpH"
1971,NA
1972,NA
1973,NA
1974,NA
1976,NA
1977,NA
1978,7.475
1979,6.73333333333333
1980,7.3
1981,7.07222222222222
1982,6.86666666666667
1983,7.19166666666667
1984,6.96666666666667
1985,6.94027777777778
1987,6.78333333333333
1988,6.85
1989,6.65
1990,6.9
1992,7.16666666666667
1993,7.05
1994,7.58333333333333
1995,7.5
1996,7
1997,7.04166666666667
1998,7.43
1999,6.98541666666667
2000,7.36875
2001,7.57847222222222
2002,7.21527777777778
2003,7.10208333333333
2004,7.11680555555556
2005,7.34930555555556
2006,6.84002976190476
2007,7.67777777777778
2008,7.52339285714286
2009,7.11121031746032
2010,7.16833333333333
2011,7.53698412698413
2012,7.56654761904762
2013,7.65714285714286
2014,7.36700396825397
2015,7.14640211640212
2016,7.27916666666667
2017,7.24178838280423
2018,6.94785714285714
