"year","CHOWANsalinity"
1971,0.8
1972,0.96
1973,1.05
1974,NA
1976,NA
1977,NA
1978,NA
1979,NA
1980,NA
1981,2
1982,0
1983,0.625
1984,1.24444444444444
1985,0.760833333333333
1987,1.13333333333333
1988,1.08333333333333
1989,0
1990,0
1992,0.276666666666667
1993,0
1994,1.91730769230769
1995,0.663247863247863
1996,0.0888888888888889
1997,0.813194444444444
1998,1.35416666666667
1999,0.0509027777777778
2000,0.2
2001,2.38125
2002,1.95875
2003,0.058422619047619
2004,0.0795833333333333
2005,1.10465277777778
2006,0.0470833333333333
2007,2.09625
2008,2.45375
2009,0.754365079365079
2010,0.0796875
2011,0.969206349206349
2012,1.25797023809524
2013,0.907690476190476
2014,0.302972222222222
2015,0.0631481481481481
2016,0.04
2017,0.677460007751323
2018,0.04
