"","year","CHOWANtemperature"
"1",1971,14.4694444444444
"2",1972,15.337962962963
"3",1973,19.1972222222222
"4",1974,19
"5",1976,8
"6",1977,19
"7",1978,18
"8",1979,14.3333333333333
"9",1980,13.6666666666667
"10",1981,10.5015432098765
"11",1982,13.7981481481481
"12",1983,15.199537037037
"13",1984,11.6666666666667
"14",1985,19.9916666666667
"15",1987,12.4444444444444
"16",1988,13.8333333333333
"17",1989,8.23333333333333
"18",1990,12.7678571428571
"19",1992,14.7333333333333
"20",1993,13.5
"21",1994,13.5294871794872
"22",1995,13.3864468864469
"23",1996,11.5567765567766
"24",1997,12.3993055555556
"25",1998,16.6259126984127
"26",1999,14.3118055555556
"27",2000,11.4722222222222
"28",2001,14.9701388888889
"29",2002,14.7680555555556
"30",2003,13.8832341269841
"31",2004,16.2335119047619
"32",2005,16.3548611111111
"33",2006,13.7941071428571
"34",2007,14.6284722222222
"35",2008,12.8518055555556
"36",2009,15.282996031746
"37",2010,16.9766369047619
"38",2011,13.7578968253968
"39",2012,14.1865773809524
"40",2013,11.7993849206349
"41",2014,14.3630952380952
"42",2015,15.6659259259259
"43",2016,10.9194444444444
"44",2017,13.4814215206349
"45",2018,11.2069047619048
