"year","CHOWANtemperature"
1971,14.4694444444444
1972,15.337962962963
1973,19.1972222222222
1974,19
1976,8
1977,19
1978,18
1979,14.3333333333333
1980,13.6666666666667
1981,10.5015432098765
1982,13.7981481481481
1983,15.199537037037
1984,11.6666666666667
1985,19.9916666666667
1987,12.4444444444444
1988,13.8333333333333
1989,8.23333333333333
1990,12.7678571428571
1992,14.7333333333333
1993,13.5
1994,13.5294871794872
1995,13.3864468864469
1996,11.5567765567766
1997,12.3993055555556
1998,16.6259126984127
1999,14.3118055555556
2000,11.4722222222222
2001,14.9701388888889
2002,14.7680555555556
2003,13.8832341269841
2004,16.2335119047619
2005,16.3548611111111
2006,13.7941071428571
2007,14.6284722222222
2008,12.8518055555556
2009,15.282996031746
2010,16.9766369047619
2011,13.7578968253968
2012,14.1865773809524
2013,11.7993849206349
2014,14.3630952380952
2015,15.6659259259259
2016,10.9194444444444
2017,13.4814215206349
2018,11.2069047619048
