Year,CapeFearFlow
1974,96.10799216
1975,117.1455623
1976,119.1539038
1977,111.2298037
1978,62.52729028
1979,157.0846273
1980,48.43381117
1981,64.45868388
1982,89.82319122
1983,137.59525
1984,46.93517286
1985,159.765494
1986,51.36368139
1987,45.46946826
1988,74.30402046
1989,229.1417676
1990,135.7004836
1991,49.74531207
1992,154.1285948
1993,59.35303336
1994,70.5335708
1995,234.4727217
1996,206.7560693
1997,84.21029981
1998,37.45518516
1999,209.3384426
2000,53.2947672
2001,30.98632472
2002,231.1140975
2003,111.331375
2004,115.465019
2005,88.42981771
2006,227.7259252
2007,30.01616494
2008,97.63156161
2009,191.3104608
2010,53.47790333
2011,54.26154127
2012,46.65569789
2013,59.05170518
2014,63.62980054
2015,303.4611776
2016,228.7718018
2017,33.27506461
2018,448.3941843
2019,93.74538224
2020,295.5649498
