"year","PAMLICOdissolvedoxygen"
1974,8.06666666666667
1975,7.04
1976,9.03333333333333
1977,8.79375
1978,10.284375
1979,10.9444444444444
1980,10.0857142857143
1981,8.42
1982,9.67777777777778
1983,9.71764705882353
1984,8.33076923076923
1985,7.90625
1986,7.7
1987,7.325
1988,7.92907407407407
1989,8.34973642299729
1990,6.70155683704992
1991,7.01329791636935
1992,7.11936600387135
1993,7.33404591175313
1996,7.62821499949842
1997,8.1107037037037
1998,7.91298148148148
1999,8.54194292984369
2000,8.85084415584416
2001,8.06658323158323
2002,7.66741637150728
2003,8.57875457875458
2004,8.73416666666667
2005,8.86428802588997
2006,7.68848694316436
2007,8.58063492063492
2008,8.85762536873156
2009,8.14407100340136
2010,7.87095833333333
2011,8.46509070294785
2012,7.7025
2013,9.0989837398374
2014,8.45268140589569
2015,7.16732683982684
2016,7.45674388674389
2017,8.4858133202381
2018,9.37644018367347
2019,9.10405505952381
