"year","PAMLICOpH"
1974,6.7
1975,NA
1976,7.8
1977,NA
1978,7.74305555555556
1979,7.41111111111111
1980,7.84444444444444
1981,7.68
1982,7.51666666666667
1983,7.44666666666667
1984,7.23076923076923
1985,7.21176470588235
1986,7.51818181818182
1987,7.45
1988,7.30222222222222
1989,7.405
1990,7.7358024691358
1991,7.94040404040404
1992,7.48989898989899
1993,7.53939393939394
1996,7.36
1997,7.82727272727273
1998,7.71903703703704
1999,7.25271645021645
2000,7.63369683751363
2001,7.79867521367521
2002,7.4847323888233
2003,7.27430418719212
2004,7.37247655122655
2005,7.25915451895044
2006,7.39346712018141
2007,7.67783588435374
2008,7.67727560050569
2009,7.42341710758377
2010,7.65576923076923
2011,7.60895691609977
2012,7.55948412698413
2013,7.74532520325203
2014,7.54363945578231
2015,7.31187788018433
2016,7.04582671957672
2017,7.5066843760582
2018,7.1918563992674
2019,7.70579877112135
