"","year","PAMLICOtemperature"
"1",1974,14.5
"2",1975,18.2
"3",1976,14
"4",1977,13.625
"5",1978,12.4444444444444
"6",1979,12
"7",1980,14.7222222222222
"8",1981,15.2
"9",1982,15.8333333333333
"10",1983,17.1271241830065
"11",1984,15.9230769230769
"12",1985,17.8823529411765
"13",1986,20.4545454545455
"14",1987,17.5833333333333
"15",1988,15.9418467078189
"16",1989,14.1065300641388
"17",1990,17.6432317106193
"18",1991,16.2758743637315
"19",1992,15.9435099362907
"20",1993,18.4724788469107
"21",1996,15.470023284796
"22",1997,17.1097724867725
"23",1998,17.0329814814815
"24",1999,14.9236742424242
"25",2000,12.1512806637807
"26",2001,16.2275742775743
"27",2002,15.1821940181031
"28",2003,14.9463207163207
"29",2004,14.9322077922078
"30",2005,13.9113153028202
"31",2006,15.5363679245283
"32",2007,16.1515072278912
"33",2008,13.8739359460598
"34",2009,14.6934608843537
"35",2010,14.5616666666667
"36",2011,16.0090589569161
"37",2012,16.1444047619048
"38",2013,13.7515040650407
"39",2014,15.1720578231293
"40",2015,17.083455988456
"41",2016,16.8146846846847
"42",2017,17.5134917619048
"43",2018,12.4402379081633
"44",2019,14.9153273809524
