Year,RoanokeRiverFlow
1974,174.7286946
1975,239.0541274
1976,273.2649009
1977,200.8636843
1978,160.916296
1979,467.9981446
1980,88.49453039
1981,87.06637016
1982,187.839
1983,211.8437364
1984,131.0139771
1985,368.4961321
1986,120.8603401
1987,212.194098
1988,129.5241697
1989,350.3752789
1990,305.9755924
1991,110.2388693
1992,230.1974791
1993,207.531857
1994,125.5958728
1995,245.6503782
1996,415.4678769
1997,129.0070181
1998,73.72317528
1999,176.7288039
2000,96.44017005
2001,69.24005359
2002,243.3454578
2003,370.879824
2004,346.402459
2005,183.3798523
2006,320.9216146
2007,68.89071944
2008,96.44359489
2009,378.6781953
2010,151.874706
2011,159.902542
2012,73.01765728
2013,135.6340926
2014,152.0938961
2015,432.1879686
2016,227.1253934
2017,83.34356399
2018,121.2191403
2019,28.4906579
