"year","NEWdissolvedoxygen"
1975,6.225
1976,6.88571428571429
1978,8.06666666666667
1979,6.9
1980,9.55
1981,7.77777777777778
1982,7.9
1983,5.46666666666667
1984,8.975
1985,7.56666666666667
1986,8.15
1987,8.76923076923077
1988,7.2
1989,8.53333333333333
1990,7.64166666666667
1991,8.86363636363636
1992,8.04375
1993,7.7125
1994,7.225
1995,9.1
1996,7.40555555555556
1997,7.48666666666667
1998,9.02916666666667
1999,9.09285714285714
2000,8.65384615384615
2001,7.90119047619048
2002,7.9343137254902
2003,6.4537037037037
2004,7.56296296296296
2005,7.08703703703704
2006,7.64444444444444
2007,9.14907407407407
2008,8.27254901960784
2009,6.70092592592593
2010,8.35740740740741
2011,8.52222222222222
2012,8.0962962962963
2013,8.79074074074074
2014,8.49444444444444
2015,5.69907407407407
2016,6.15555555555556
2017,8.63888888888889
2018,7.665
2019,9.59166666666667
