"year","NEWpH"
1975,6.63333333333333
1976,6.85714285714286
1978,6.1
1979,6.1
1980,8.04
1981,7.865
1982,7.5
1983,6.92222222222222
1984,7.38125
1985,8.01666666666667
1986,7.58888888888889
1987,8.1
1988,7.65
1989,7.65
1990,7.9
1991,7.67272727272727
1992,7.353125
1993,7.725
1994,7.25
1995,7.4
1996,7.2375
1997,7.55
1998,7.87916666666667
1999,7.73988095238095
2000,7.47136752136752
2001,7.79126984126984
2002,7.5037037037037
2003,7.12777777777778
2004,7.54259259259259
2005,7.39444444444444
2006,7.14814814814815
2007,7.69814814814815
2008,7.61388888888889
2009,7.06574074074074
2010,7.37037037037037
2011,7.68611111111111
2012,7.62777777777778
2013,7.78796296296296
2014,7.48518518518518
2015,6.79444444444444
2016,7.12777777777778
2017,7.43833333333333
2018,7.3
2019,7.61666666666667
