"year","NEWsalinity"
1975,NA
1976,NA
1978,NA
1979,NA
1980,NA
1981,19.6666666666667
1982,11.6666666666667
1983,13.4444444444444
1984,7.84285714285714
1985,16.3333333333333
1986,8.88888888888889
1987,19.5
1988,11.125
1989,13.6666666666667
1990,20.5
1991,13.5583333333333
1992,12.90625
1993,17.7375
1994,12.2833333333333
1995,8.575
1996,5.875
1997,16.3864583333333
1998,16.5434782608696
1999,10.8357142857143
2000,12.0807692307692
2001,22.3441666666667
2002,14.0037037037037
2003,4.20648148148148
2004,11.8777777777778
2005,5.38083333333333
2006,5.40888888888889
2007,22.7160185185185
2008,16.5478703703704
2009,7.0775
2010,11.6180555555556
2011,13.0115277777778
2012,14.5048148148148
2013,17.3832407407407
2014,12.0796296296296
2015,4.58333333333333
2016,7.58388888888889
2017,11.6833333333333
2018,4.5175
2019,11.635
