"","year","NEWtemperature"
"1",1975,20.5
"2",1976,12.7142857142857
"3",1978,21.6
"4",1979,18
"5",1980,15.8333333333333
"6",1981,13.2222222222222
"7",1982,15.5555555555556
"8",1983,15.3333333333333
"9",1984,14.875
"10",1985,17.6666666666667
"11",1986,14.4444444444444
"12",1987,16.6923076923077
"13",1988,14.3520833333333
"14",1989,12.0481481481481
"15",1990,20.2324074074074
"16",1991,14.6792929292929
"17",1992,15.5131944444444
"18",1993,20.7236111111111
"19",1994,16.9648148148148
"20",1995,15.0393518518519
"21",1996,15.2296682098765
"22",1997,15.884375
"23",1998,17.6
"24",1999,14.2702380952381
"25",2000,12
"26",2001,17.0785714285714
"27",2002,17.575
"28",2003,17.1240740740741
"29",2004,15.9981481481481
"30",2005,15.1231481481481
"31",2006,12.9555555555556
"32",2007,19.4148148148148
"33",2008,17.0592592592593
"34",2009,15.275
"35",2010,13.0138888888889
"36",2011,18.4319444444444
"37",2012,15.7055555555556
"38",2013,14.3287037037037
"39",2014,15.4027777777778
"40",2015,16.887037037037
"41",2016,17.3097222222222
"42",2017,17.4333333333333
"43",2018,15.575
"44",2019,11.8833333333333
