"year","NEWtemperature"
1975,20.5
1976,12.7142857142857
1978,21.6
1979,18
1980,15.8333333333333
1981,13.2222222222222
1982,15.5555555555556
1983,15.3333333333333
1984,14.875
1985,17.6666666666667
1986,14.4444444444444
1987,16.6923076923077
1988,14.3520833333333
1989,12.0481481481481
1990,20.2324074074074
1991,14.6792929292929
1992,15.5131944444444
1993,20.7236111111111
1994,16.9648148148148
1995,15.0393518518519
1996,15.2296682098765
1997,15.884375
1998,17.6
1999,14.2702380952381
2000,12
2001,17.0785714285714
2002,17.575
2003,17.1240740740741
2004,15.9981481481481
2005,15.1231481481481
2006,12.9555555555556
2007,19.4148148148148
2008,17.0592592592593
2009,15.275
2010,13.0138888888889
2011,18.4319444444444
2012,15.7055555555556
2013,14.3287037037037
2014,15.4027777777778
2015,16.887037037037
2016,17.3097222222222
2017,17.4333333333333
2018,15.575
2019,11.8833333333333
