"year","CAPEFEARdissolvedoxygen"
1976,7.13333333333333
1977,7.2
1978,7.83333333333333
1979,7.7
1980,8.8
1981,8.33333333333333
1982,7.46666666666667
1983,7.7
1984,8.4
1985,6.01666666666667
1986,6.71666666666667
1987,7.16666666666667
1988,7.48333333333333
1989,8.06666666666667
1990,7.01666666666667
1991,6.78
1992,7.95
1993,7.2
1994,7
1995,5.6
1996,6.76666666666667
1997,6.8
1998,7.85
1999,6.16666666666667
2000,7.88888888888889
2001,6.99444444444444
2002,7.86111111111111
2003,6.61666666666667
2004,6.64444444444444
2005,8.28333333333333
2006,7.29444444444444
2007,6.85555555555556
2008,6.06111111111111
2009,6.44166666666667
2010,4.88888888888889
2011,7.13888888888889
2012,6.70833333333333
2013,7.26666666666667
2014,6.81666666666667
2015,6.61111111111111
2016,7.66666666666667
2017,7.81833333333333
2018,9.95
2019,7.98333333333333
