"year","CAPEFEARpH"
1976,6.6
1977,6.55
1978,6.4
1979,6.13333333333333
1980,7.63333333333333
1981,7.28
1982,7.23333333333333
1983,7
1984,7.03
1985,6.91666666666667
1986,7.2
1987,7.48333333333333
1988,7.41666666666667
1989,6.43333333333333
1990,7.18
1991,7.2
1992,6.81666666666667
1993,7.025
1994,6.8
1995,6.65
1996,6.525
1997,7.06
1998,7.16666666666667
1999,6.66
2000,6.86111111111111
2001,7.33888888888889
2002,7.07222222222222
2003,6.92916666666667
2004,7.36111111111111
2005,7.24444444444444
2006,7.16666666666667
2007,7.31666666666667
2008,7.12222222222222
2009,7.55
2010,6.48888888888889
2011,7.52777777777778
2012,7.54166666666667
2013,7.51111111111111
2014,7.24444444444444
2015,6.80555555555556
2016,7.41666666666667
2017,7.41666666666667
2018,6.7
2019,7.3
