"year","CAPEFEARsalinity"
1976,NA
1977,NA
1978,NA
1979,NA
1980,NA
1981,10.6666666666667
1982,6
1983,5.33333333333333
1984,4.16666666666667
1985,5.33333333333333
1986,7.83333333333333
1987,15.6666666666667
1988,6
1989,2
1990,4.15
1991,8
1992,6.06666666666667
1993,13.075
1994,5.78333333333333
1995,3.55
1996,1.825
1997,8.25833333333333
1998,13.3166666666667
1999,4.475
2000,9.475
2001,19.7777777777778
2002,4.84444444444444
2003,4.53333333333333
2004,13.2444444444444
2005,9.09888888888889
2006,6.79
2007,24.0566666666667
2008,12.5616666666667
2009,18.7183333333333
2010,7.45444444444444
2011,18.8616666666667
2012,18.3916666666667
2013,18.2377777777778
2014,14.6044444444444
2015,9.48666666666667
2016,15.9308333333333
2017,14.61
2018,1.045
2019,11.9283333333333
