"","year","CAPEFEARtemperature"
"1",1976,16.6666666666667
"2",1977,19.6666666666667
"3",1978,17.3333333333333
"4",1979,18
"5",1980,13
"6",1981,12
"7",1982,15.3333333333333
"8",1983,15
"9",1984,12.3333333333333
"10",1985,17.6666666666667
"11",1986,18
"12",1987,16.5
"13",1988,16.0833333333333
"14",1989,13.237037037037
"15",1990,14.9342592592593
"16",1991,17.5477777777778
"17",1992,14.3333333333333
"18",1993,18.4541666666667
"19",1994,15.9342592592593
"20",1995,19.3944444444444
"21",1996,16.7805555555556
"22",1997,15.5166666666667
"23",1998,16.64
"24",1999,16.35
"25",2000,11.8333333333333
"26",2001,18.3722222222222
"27",2002,13.6111111111111
"28",2003,16.0083333333333
"29",2004,19.3611111111111
"30",2005,13.3277777777778
"31",2006,13.1277777777778
"32",2007,17.1722222222222
"33",2008,18.8611111111111
"34",2009,17.7416666666667
"35",2010,18.7777777777778
"36",2011,16.6277777777778
"37",2012,17.875
"38",2013,15.75
"39",2014,16.8888888888889
"40",2015,17.6777777777778
"41",2016,15.45
"42",2017,17.0166666666667
"43",2018,9
"44",2019,16.1166666666667
