"year","CAPEFEARtemperature"
1976,16.6666666666667
1977,19.6666666666667
1978,17.3333333333333
1979,18
1980,13
1981,12
1982,15.3333333333333
1983,15
1984,12.3333333333333
1985,17.6666666666667
1986,18
1987,16.5
1988,16.0833333333333
1989,13.237037037037
1990,14.9342592592593
1991,17.5477777777778
1992,14.3333333333333
1993,18.4541666666667
1994,15.9342592592593
1995,19.3944444444444
1996,16.7805555555556
1997,15.5166666666667
1998,16.64
1999,16.35
2000,11.8333333333333
2001,18.3722222222222
2002,13.6111111111111
2003,16.0083333333333
2004,19.3611111111111
2005,13.3277777777778
2006,13.1277777777778
2007,17.1722222222222
2008,18.8611111111111
2009,17.7416666666667
2010,18.7777777777778
2011,16.6277777777778
2012,17.875
2013,15.75
2014,16.8888888888889
2015,17.6777777777778
2016,15.45
2017,17.0166666666667
2018,9
2019,16.1166666666667
