Year,FinfishCommCatchWeight
1972,21209855.67
1973,21396387.19
1974,24117370.02
1975,26972875.45
1976,27024894.29
1977,30628513.99
1978,31517153.74
1979,38000858.02
1980,42012028.26
1981,30322543.58
1982,29136143.79
1983,24951535.12
1984,29380272.96
1985,27568188.13
1986,27076715.76
1987,23534327.5
1988,27361760.39
1989,20726602.84
1990,18894077.56
1991,18182250.8
1992,19798896.23
1993,21190836.73
1994,21765616.1
1995,21658660.57
1996,23997718.39
1997,21730179.33
1998,19748823.25
1999,18046996.87
2000,19118524.71
2001,18013622.68
2002,16623464.14
2003,16975481.47
2004,17450395.02
2005,15505315.87
2006,14826327.65
2007,12358453.78
2008,11046266.56
2009,12270659.69
2010,12664115.82
2011,10710866.2
2012,8819558.933
2013,8600558.366
2014,11903431.6
2015,10583702.64
2016,9394325.454
2017,9226284.954
2018,8368884.49
2019,8981976.22
2020,8552738.482
2021,8564691.538
