Year,InvertCommCatchWeight
1972,9055908.488
1973,8154339.957
1974,10298342.34
1975,7756684.015
1976,8746472.108
1977,8778987.851
1978,12757937.7
1979,15401161.16
1980,21240128.96
1981,19395995.8
1982,21696339.55
1983,19576909.16
1984,18244982.97
1985,19834483.19
1986,14650142.09
1987,17973235.55
1988,20687060.61
1989,20664036.73
1990,21598981.92
1991,24452560.49
1992,21591930.38
1993,23391394.26
1994,28003122.63
1995,25496312.88
1996,33202704.43
1997,29051761.57
1998,30720834.52
1999,30560021.19
2000,23529435.91
2001,17444083.74
2002,22039151.68
2003,22564129.99
2004,18108490.33
2005,13019087.14
2006,14548302.72
2007,14493394.05
2008,19641843.32
2009,16360266.03
2010,17252015.2
2011,16508623.47
2012,15370959.85
2013,12699007.93
2014,14607562.7
2015,19237632.52
2016,18046963.96
2017,15613690.99
2018,12561845.54
2019,15239784.02
2020,10981383.85
2021,10615998.01
