Year,MenhadenCommCatchWeight
1972,38415622.74
1973,30364822.86
1974,54974279.92
1975,69764808.73
1976,61190690.24
1977,71721663.13
1978,87236704.92
1979,115362048.8
1980,89321504.47
1981,140348037.1
1982,84828548.7
1983,80727328.6
1984,71516707.59
1985,44333357.69
1986,30108498.48
1987,25173707.82
1988,33436857.69
1989,30280118.19
1990,32763852.35
1991,50134958.58
1992,26088666.84
1993,29352566.09
1994,33499538.66
1995,26478016.15
1996,24426356.94
1997,44328211.24
1998,26297656.18
1999,19413320.3
2000,25528208.56
2001,25406774.73
2002,31384300.82
2003,22197205.82
2004,22941768.46
2005,6072427.973
2006,436650.7924
2007,514467.6751
2008,292671.6198
2009,963762.3445
2010,589284.0468
2011,1601181.121
2012,244391.7409
2013,206024.208
2014,416354.3648
2015,407471.6726
2016,180549.574
2017,341463.604
2018,323854.709
2019,250314.2916
2020,272038.1733
2021,195327.1478
