Year,sum_catch
1981,56991514
1982,32099224
1983,41668877
1984,39875446
1985,56451992
1986,45851172
1987,40571658
1988,51050701
1989,46521451
1990,48341299
1991,47409784
1992,46023297
1993,38828056
1994,53782233
1995,41687914
1996,38774609
1997,42074671
1998,49113392
1999,49665204
2000,60064624
2001,70604403
2002,73121428
2003,71895315
2004,70763099
2005,71975453
2006,86999233
2007,81030462
2008,75581745
2009,86958497
2010,94550489
2011,90451846
2012,84324401
2013,108485325
2014,114616808
2015,108388373
2016,108923927
2017,98336219
2018,78634818
2019,81772375
2020,72477817
2021,82038674
2022,63988884
