Region,Year,sum_participants
Central,1994,389
Core Banks,1994,514
Southern,1994,315
Northern,1994,40
Central,1995,433
Core Banks,1995,609
Southern,1995,347
Northern,1995,50
Central,1996,302
Core Banks,1996,452
Southern,1996,268
Northern,1996,69
Central,1997,380
Core Banks,1997,435
Southern,1997,293
Northern,1997,62
Central,1998,211
Core Banks,1998,341
Southern,1998,275
Northern,1998,7
Central,1999,658
Core Banks,1999,694
Southern,1999,490
Northern,1999,43
Central,2000,808
Core Banks,2000,674
Southern,2000,457
Northern,2000,93
Central,2001,438
Core Banks,2001,534
Southern,2001,325
Central,2002,772
Core Banks,2002,544
Southern,2002,345
Northern,2002,82
Core Banks,2003,529
Southern,2003,397
Central,2003,279
Northern,2003,5
Core Banks,2004,405
Southern,2004,342
Northern,2004,40
Central,2004,378
Central,2005,188
Core Banks,2005,280
Southern,2005,272
Northern,2005,4
Core Banks,2006,278
Southern,2006,194
Northern,2006,5
Central,2006,326
Central,2007,420
Core Banks,2007,249
Southern,2007,226
Northern,2007,32
Central,2008,532
Core Banks,2008,273
Southern,2008,204
Northern,2008,9
Central,2009,402
Core Banks,2009,269
Southern,2009,206
Northern,2009,10
Central,2010,355
Core Banks,2010,226
Southern,2010,263
Northern,2010,8
Central,2011,266
Core Banks,2011,87
Southern,2011,150
Northern,2011,6
Central,2012,388
Core Banks,2012,299
Southern,2012,263
Northern,2012,9
Core Banks,2013,298
Southern,2013,249
Northern,2013,9
Central,2013,384
Core Banks,2014,269
Southern,2014,163
Central,2014,330
Central,2015,397
Core Banks,2015,201
Southern,2015,182
Northern,2015,24
Central,2016,430
Core Banks,2016,295
Southern,2016,139
Northern,2016,99
Central,2017,475
Core Banks,2017,248
Southern,2017,134
Northern,2017,110
Central,2018,395
Core Banks,2018,167
Southern,2018,152
Northern,2018,90
Central,2019,289
Core Banks,2019,115
Southern,2019,78
Northern,2019,126
Central,2020,328
Core Banks,2020,174
Southern,2020,93
Northern,2020,147
Central,2021,250
Core Banks,2021,126
Southern,2021,60
Northern,2021,125
