Year,Active Stations
1966,1
1967,3
1968,4
1969,13
1970,42
1971,42
1972,41
1973,59
1974,69
1975,45
1976,50
1977,55
1978,48
1979,53
1980,50
1981,48
1982,56
1983,55
1984,55
1985,60
1986,61
1987,52
1988,53
1989,68
1990,68
1991,69
1992,68
1993,72
1994,71
1995,72
1996,72
1997,87
1998,93
1999,97
2000,97
2001,101
2002,75
2003,74
2004,73
2005,73
2006,73
2007,69
2008,68
2009,66
2010,65
2011,58
2012,58
2013,55
2014,55
2015,49
2016,47
2017,46
2018,46
2019,47
2020,46
2021,45
2022,45
