year,Num_reg
1967,1
1972,6
1973,2
1974,1
1975,2
1976,1
1977,1
1978,1
1979,1
1984,1
1990,4
1991,3
1992,1181
1993,46908
1994,87847
1995,133419
1996,144596
1997,159766
1998,176077
1999,196296
2000,210763
2001,231995
2002,254548
2003,288473
2004,323595
2005,358413
2006,382192
2007,395051
2008,391618
2009,388267
2010,380057
2011,378004
2012,372443
2013,372039
2014,365004
2015,349500
2016,330738
2017,336192
2018,336697
2019,339324
2020,358777
2021,367278
2022,369394
2023,354823
