"","year","Num_reg"
"1",1992,1181
"2",1993,46908
"3",1994,87847
"4",1995,133419
"5",1996,144596
"6",1997,159766
"7",1998,176077
"8",1999,196296
"9",2000,210763
"10",2001,231995
"11",2002,254548
"12",2003,288473
"13",2004,323595
"14",2005,358413
"15",2006,382192
"16",2007,395051
"17",2008,391618
"18",2009,388267
"19",2010,380057
"20",2011,378004
"21",2012,372443
"22",2013,372039
"23",2014,365004
"24",2015,349500
"25",2016,330738
"26",2017,336192
"27",2018,336697
"28",2019,339324
"29",2020,358777
"30",2021,367278
"31",2022,369394
"32",2023,354823
