"","year","mean_pH"
"1",1970,7.44764492753623
"2",1971,7.10344226579521
"3",1972,NA
"4",1973,NA
"5",1974,NA
"6",1975,6.53333333333333
"7",1976,7.175
"8",1977,7.29247474747475
"9",1978,7.33290927482104
"10",1979,7.06263514957265
"11",1980,7.35145833333333
"12",1981,7.27058823529412
"13",1982,6.97169117647059
"14",1983,6.93936733172801
"15",1984,7.01913296568627
"16",1985,7.37558169934641
"17",1986,7.52166666666667
"18",1987,7.32092105263158
"19",1988,7.4217738791423
"20",1989,7.38457494840041
"21",1990,7.69669290834613
"22",1991,7.51478494623656
"23",1992,7.72123015873016
"24",1993,7.58317418981482
"25",1994,7.649445496633
"26",1995,7.4860493529459
"27",1996,7.30954178212504
"28",1997,7.68450969827586
"29",1998,7.50339720339035
"30",1999,7.54757406688961
"31",2000,7.56932920199921
"32",2001,7.66434007495614
"33",2002,7.68961367262067
"34",2003,7.49733649058803
"35",2004,7.57364113843637
"36",2005,7.51496086217422
"37",2006,7.59432286114664
"38",2007,7.64202411437247
"39",2008,7.67725422220972
"40",2009,7.65090579176746
"41",2010,7.52412731133389
"42",2011,7.427288647343
"43",2012,7.35892076210826
"44",2013,7.36339964726631
"45",2014,7.33243937559354
"46",2015,7.17008501683502
"47",2016,7.15937411816579
"48",2017,7.47721266588885
"49",2018,7.2021166887509
"50",2019,7.57094025380244
"51",2020,7.30391304347826
