"year","mean_temperature"
1970,19.2061781609195
1971,18.6988624369272
1972,18.1226851851852
1973,18.2830873842593
1974,10.9234375
1975,18.131746031746
1976,18.1154938271605
1977,17.7801316738817
1978,17.7771883753501
1979,17.3522005508299
1980,18.4975642230576
1981,16.6666666666667
1982,17.6362540849673
1983,16.6817200954456
1984,17.0993259803922
1985,18.1363372893017
1986,19.1496527777778
1987,18.2752968648473
1988,17.929905782976
1989,18.440949378655
1990,19.4436085909498
1991,18.5652982026144
1992,18.6797943774284
1993,19.4323398461777
1994,19.3743435942348
1995,18.1681034042568
1996,17.4210365365575
1997,19.288041091954
1998,19.1183692895845
1999,17.1790967936334
2000,17.8566621997379
2001,17.38942312952
2002,18.5799742726117
2003,17.6816134910529
2004,19.1277676395851
2005,19.2093070489137
2006,19.2114405679571
2007,19.8510991636856
2008,18.8871406381248
2009,18.5864405525146
2010,19.1311307348232
2011,19.5392283950617
2012,20.6816226851852
2013,18.4329283950617
2014,17.6638823556844
2015,20.0720700666081
2016,17.5700025352734
2017,20.2616798859718
2018,19.1024986929022
2019,18.4822861394558
2020,11.9416666666667
