"","year","mean_salinity"
"1",1971,0.730555555555556
"2",1972,0.169444444444444
"3",1973,0.254166666666667
"4",1974,0.658333333333333
"5",1978,NA
"6",1979,NA
"7",1980,NA
"8",1981,7.5
"9",1982,4.69027777777778
"10",1983,4.3328125
"11",1984,1.16805555555556
"12",1985,2.63195987654321
"13",1986,2.70462962962963
"14",1987,1.67906746031746
"15",1988,2.97002314814815
"16",1989,1.06329861111111
"17",1990,1.74349851919935
"18",1992,3.41820363562092
"19",1993,0.936604532163743
"20",1994,3.87842242905372
"21",1995,4.08385130494506
"22",1996,1.49560848096549
"23",1997,3.05755228017133
"24",1998,2.50062287414966
"25",1999,4.05937896825397
"26",2000,1.36991567460317
"27",2001,4.66855518596327
"28",2002,7.13477298280423
"29",2003,1.18236392195767
"30",2004,1.45120932539683
"31",2005,2.88643277588813
"32",2006,2.90010654567383
"33",2007,3.63331772486772
"34",2008,6.55227933351371
"35",2009,4.59872222222222
"36",2010,1.57713913690476
"37",2011,4.23585482804233
"38",2012,3.82818566335625
"39",2013,3.64572420634921
"40",2014,2.20418359831306
"41",2015,2.19069196428571
"42",2016,1.18232390873016
"43",2017,2.62287676582341
"44",2018,4.08094472123016
"45",2019,1.74794270833333
"46",2020,6.17357142857143
