"","year","mean_pH"
"1",1971,NA
"2",1972,NA
"3",1973,NA
"4",1974,NA
"5",1978,7.275
"6",1979,7.23888888888889
"7",1980,7.1875
"8",1981,7.15
"9",1982,7.21354166666667
"10",1983,7.46180555555556
"11",1984,7.42361111111111
"12",1985,7.3937037037037
"13",1986,7.35694444444444
"14",1987,7.259375
"15",1988,7.24027777777778
"16",1989,7.23472222222222
"17",1990,7.62583333333333
"18",1992,7.84
"19",1993,7.62916666666667
"20",1994,7.86944444444444
"21",1995,7.89744047619048
"22",1996,7.34125
"23",1997,7.73869047619048
"24",1998,7.52556022408964
"25",1999,7.48855012838469
"26",2000,7.07194279100529
"27",2001,7.39781415343915
"28",2002,7.46240575396825
"29",2003,7.4010625
"30",2004,7.32208994708995
"31",2005,7.53633550642479
"32",2006,7.46310795151394
"33",2007,7.47464616402116
"34",2008,7.63676917989418
"35",2009,7.68347222222222
"36",2010,7.71313055083144
"37",2011,7.75169973544974
"38",2012,7.90882624564978
"39",2013,7.81751058201058
"40",2014,7.90611167800454
"41",2015,7.67879464285714
"42",2016,7.49355158730159
"43",2017,7.88392686309524
"44",2018,7.83716369365079
"45",2019,7.81063988095238
"46",2020,7.69285714285714
