"year","mean_temperature"
1971,16.2452516619183
1972,17.3582561728395
1973,20.0734182098765
1974,12.4277777777778
1978,18.2916666666667
1979,19
1980,17.3780555555556
1981,17
1982,15.0517939814815
1983,17.1525231481481
1984,16.1795910493827
1985,18.901412037037
1986,18.2685185185185
1987,18.0034722222222
1988,16.5925925925926
1989,16.1422794117647
1990,17.6647022727913
1992,18.4878370098039
1993,18.343019005848
1994,19.0939786148377
1995,17.7752931581286
1996,17.684581577514
1997,15.0759878117914
1998,18.4068209089191
1999,17.7963392857143
2000,15.8583994708995
2001,17.4798743386243
2002,17.325732473545
2003,16.8987533068783
2004,16.8137152777778
2005,18.7485282029478
2006,16.2668214869281
2007,17.9784722222222
2008,17.0018849206349
2009,16.2552281746032
2010,17.3463629062736
2011,17.8042741402116
2012,17.9443072956455
2013,16.1078277116402
2014,16.72031837293
2015,18.1489955357143
2016,18.9394692460317
2017,18.9764666071429
2018,19.5429748869048
2019,18.2561755952381
2020,8.2
